Time,Steering Wheel,Break,Activating Signal
11:46.703,-679,32767,0
11:46.735,-760,32767,0
11:46.753,-799,32767,0
11:46.769,-843,32767,0
11:46.787,-877,32767,0
11:46.801,-910,32767,0
11:46.834,-955,32767,0
11:46.850,-976,32767,0
11:46.868,-988,32767,0
11:46.882,-1000,32767,0
11:46.914,-1001,32767,0
11:46.929,-1001,32767,0
11:46.943,-1001,32767,0
11:46.961,-1001,32767,0
11:46.989,-1001,32767,0
11:47.007,-996,32767,0
11:47.022,-988,32767,0
11:47.041,-970,32767,0
11:47.075,-908,32767,0
11:47.090,-848,32767,0
11:47.106,-798,32767,0
11:47.124,-733,32767,0
11:47.152,-601,32767,0
11:47.171,-521,32767,0
11:47.185,-423,32767,0
11:47.202,-345,32767,0
11:47.232,-167,32767,0
11:47.250,-72,32767,0
11:47.264,22,32767,0
11:47.296,174,32767,0
11:47.312,252,32767,0
11:47.326,305,32767,0
11:47.345,342,32767,0
11:47.374,397,32767,0
11:47.391,416,32767,0
11:47.407,423,32767,0
11:47.422,427,32767,0
11:47.455,427,32767,0
11:47.472,427,32767,0
11:47.490,427,32767,0
11:47.504,427,32767,0
11:47.534,427,32767,0
11:47.548,427,32767,0
11:47.563,427,32767,0
11:47.594,427,32767,0
11:47.609,427,32767,0
11:47.627,427,32767,0
11:47.641,427,32767,0
11:47.673,427,32767,0
11:47.687,427,32767,0
11:47.702,427,32767,0
11:47.732,427,32767,0
11:47.747,427,32767,0
11:47.767,427,32767,0
11:47.782,427,32767,0
11:47.812,427,32767,0
11:47.828,427,32767,0
11:47.845,427,32767,0
11:47.876,427,32767,0
11:47.893,427,32767,0
11:47.907,427,32767,0
11:47.922,427,32767,0
11:47.953,427,32767,0
11:47.968,427,32767,0
11:47.986,427,32767,0
11:48.014,427,32767,0
11:48.032,427,32767,0
11:48.047,427,32767,0
11:48.065,427,32767,0
11:48.081,427,32767,0
11:48.113,427,32767,0
11:48.128,427,32767,0
11:48.144,427,32767,0
11:48.175,427,32767,0
11:48.192,427,32767,0
11:48.206,423,32767,0
11:48.221,423,32767,0
11:48.253,423,32767,0
11:48.268,423,32767,0
11:48.287,423,32767,0
11:48.302,423,32767,0
11:48.333,423,32767,0
11:48.347,423,32767,0
11:48.365,423,32767,0
11:48.397,423,32767,0
11:48.411,423,32767,0
11:48.425,423,32767,0
11:48.443,423,32767,0
11:48.473,423,32767,0
11:48.491,423,32767,0
11:48.506,423,32767,0
11:48.524,423,32767,0
11:48.556,423,32767,0
11:48.571,423,32767,0
11:48.587,423,32767,0
11:48.604,423,32767,0
11:48.636,423,32767,0
11:48.650,423,32767,0
11:48.665,423,32767,0
11:48.685,423,32767,0
11:48.715,423,32767,0
11:48.731,423,32767,0
11:48.746,423,32767,0
11:48.763,423,32767,0
11:48.792,423,32767,0
11:48.809,423,32767,0
11:48.823,423,32767,0
11:48.853,423,32767,0
11:48.866,423,32767,0
11:48.881,423,32767,0
11:48.911,423,32767,0
11:48.926,423,32767,0
11:48.942,423,32767,0
11:48.971,423,32767,0
11:48.988,423,32767,0
11:49.003,423,32767,0
11:49.034,423,32767,0
11:49.049,423,32767,0
11:49.064,423,32767,0
11:49.082,423,32767,0
11:49.114,423,32767,0
